Company/Brand,Sector,Stage,Amount,What_it_does,Founded,Stage_of_funding
Sreyas Holistic Remedies,Medtech,Series A,1000000.0,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2008.0,Early Traction
Fleeca India,Tyre management,Series A,3000000.0,FLEECA is a Tyre Care Provider company.,2016.0,Early Traction
M1xchange,FinTech,Series A,4500000.0,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2017.0,Early Traction
Exotel,Cloud company,Series A,5000000.0,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2011.0,Early Traction
PagarBook,Software company,Series A,15000000.0,"Staff's Salary, Work & Attendance Management Application",2019.0,Early Traction
PointOne Capital,Venture capitalist,Series A,3000000.0,Pre-seed/Seed focussed VC investor,2020.0,Early Traction
Ayana,Renewable player,Series A,390000000.0,Ayana Renewable Power is an Indian renewable energy platform,2017.0,Early Traction
Fisdom,FinTech,Series A,7000000.0,Fisdom is a fintech company that offers investment advisory services through an application.,2015.0,Early Traction
Tinker Coders,EdTech,Seed funding,982530.0,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020.0,Validation
Infinite Uptime,IoT startup,Series B,5100000.0,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2015.0,Scaling
HappyLocate,SaaS startup,Series A,500000.0,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2016.0,Early Traction
PhonePe,FinTech,Series A,700000000.0,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2015.0,Early Traction
Loop Health,HealthTech,Seed funding,2300000.0,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2017.0,Validation
NeoDocs,HealthTech,Pre-Seed funding,270000.0,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020.0,Ideation
The ePlane,Aero company,Seed funding,982530.0,Transforming the mobility landscape using aerial transport.,2016.0,Validation
TagMango,Marketing company,Seed funding,700000.0,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2019.0,Validation
The New Shop,Retail startup,Seed funding,500000.0,The New Shop is a chain of high speed retail stores,2019.0,Validation
MobiKwik,FinTech,Series A,7000000.0,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2009.0,Early Traction
DebugsBunny,EdTech,Series A,100000.0,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020.0,Early Traction
BHIVE Investech,Co-working Startup,Seed funding,1000000.0,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2014.0,Validation
Rivigo,Logistics,Series A,19000000.0,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2014.0,Early Traction
ZipLoan,Finance company,Series A,3000000.0,ZipLoan is a online lending platform,2015.0,Early Traction
Swipez,FinTech,Series A,3000000.0,Swipez is a payment collection platform.,2014.0,Early Traction
Humus,AgriTech,Series A,3000000.0,Farmgate to Retail outlet Agri-Fresh produce supply chain,2019.0,Early Traction
Artivatic.ai,Tech company,Series A,3000000.0,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2017.0,Early Traction
Prescinto,Solar Monitoring Company,Seed funding,982530.0,Prescinto provides solutions for solar monitoring and analytics solutions.,2016.0,Validation
Toppeq,SaaS startup,Seed funding,982530.0,SaaS-based equity management platform,2019.0,Validation
Bolo Indya,Video sharing platform,Series A,400000.0,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2019.0,Early Traction
Bombay Play,Gaming startup,Seed funding,1000000.0,Bombay Play is a Card and Toy Company Making games for India.,2017.0,Validation
FreshToHome,E-commerce,Series A,3000000.0,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2015.0,Early Traction
KIKO TV,Video streaming platform,Seed funding,982530.0,KIKO TV is an AI-based short live video e-commerce platform.,2020.0,Validation
Atomberg Technologies,Consumer appliances,Series B,9000000.0,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2012.0,Scaling
DealShare,E-commerce,Series C,21000000.0,DealShare is a Social Commerce Startup,2018.0,Scaling
Smallcase,FinTech,Series A,3000000.0,Changing how India invests in equities,2015.0,Early Traction
CueMath,EdTech,Series C,40000000.0,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2011.0,Scaling
Gamerji,Gaming startup,Seed funding,982530.0,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2018.0,Validation
5C Network,HealthTech,Series A,1200000.0,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2014.0,Early Traction
Ethereum Push Notification Service,Blockchain startup,Seed funding,750000.0,EPNS is a decentralized notification protocol,2020.0,Validation
Mihup,Conversational AI platform,Series A,1500000.0,Intelligence-based personal mobile assistant app,2016.0,Early Traction
RuralBasket,E-commerce,Series A,500000.0,Naturally grown and healthy products directly from farmers.,2019.0,Early Traction
WayCool Foods,AgriTech,Debt,7800000.0,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2015.0,Other
Infra.Market,Real Estate,Series B,20000000.0,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2016.0,Scaling
Info Edge Venture,Venture capitalist,Series A,50000000.0,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",1995.0,Early Traction
Clovia,E-commerce,Series C,4000000.0,Clovia is the online lingerie retailer,2013.0,Scaling
Codingal,EdTech,Seed funding,560000.0,Coding education platform for K-12 students,2020.0,Validation
CRED,Finance company,Series C,80000000.0,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2018.0,Scaling
Vistaar Finance,Finance company,Series A,30000000.0,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2010.0,Early Traction
Let's Dive,SaaS platform,Series A,1700000.0,A platform for remote employee engagement and building team culture,2020.0,Early Traction
Habitat,EdTech,Seed funding,600000.0,"Habitat, a social learning edtech platform for civil service aspirants",2016.0,Validation
SAWO Labs,SaaS platform,Seed funding,600000.0,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020.0,Validation
Signzy,AI platform,Series A,3000000.0,Signzy are creating 'building blocks for a Digital Trust system.,2015.0,Early Traction
KopyKitab,EdTech,Series A,3000000.0,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2013.0,Early Traction
Kyt,EdTech,Series A,2500000.0,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020.0,Early Traction
Raskik,Fusion beverages,Series A,1000000.0,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2019.0,Early Traction
GetWork,HR Tech,Pre-Seed funding,40000.0,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2019.0,Ideation
Mobile Premier League (MPL),Gaming,Series B,500000.0,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2018.0,Scaling
Pravasirojgar,Job portal,Series A,33000000.0,Initiative for blue-collar job workers,2020.0,Early Traction
Omatra Hotels,Hospitality,Seed funding,982530.0,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2017.0,Validation
Awign,Job portal,Series B,10250000.0,Operations and manpower outsourcing startup,2016.0,Scaling
NewsReach,Digital Media,Seed funding,1500000.0,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2018.0,Validation
Cashfree,FinTech,Series B,35000000.0,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2015.0,Scaling
Credgenics,FinTech,Series A,3000000.0,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2018.0,Early Traction
GeoIQ,AI startup,Seed funding,300000.0,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2018.0,Validation
Country Delight,Dairy startup,Series C,25000000.0,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2015.0,Scaling
Quintype,Content management,Series A,3500000.0,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2014.0,Early Traction
CARS24,Retail,Series E,200000000.0,CARS24 is an India-based platform for selling used cars.,2015.0,Scaling
Astrogate Labs,Spacetech,Series A,3000000.0,Astrogate Labs provides high-quality products related to space infrastructure.,2017.0,Early Traction
Power Gummies,HealthTech,Bridge,1500000.0,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2018.0,Other
Cityflo,Transportation,Series A,7000000.0,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2015.0,Early Traction
AlgoBulls,Trading platform,Series A,200000.0,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2019.0,Early Traction
Credgenics,FinTech,Series A,3000000.0,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2018.0,Early Traction
Inntot,Tech company,Series A,3000000.0,"Inntot Technologies, is a technology driven company.",2014.0,Early Traction
Ensuredit,FinTech,Series A,300000.0,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2019.0,Early Traction
Shipsy,AI Company,Series A,6000000.0,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2015.0,Early Traction
ERPNext,Tech company,Series A,1000000.0,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2008.0,Early Traction
LightSpeedAI,Photonics startup,Series A,3000000.0,Developer of an optoelectronic processor designed to accelerate AI computations.,2019.0,Early Traction
Grip Invest,FinTech,Series A,3000000.0,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020.0,Early Traction
Unacademy,EdTech,Series A,3000000.0,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2015.0,Early Traction
Yellow Classes,EdTech,Series A,1300000.0,New-age fun-learning platform for kids.,2020.0,Early Traction
Plum,HealthTech,Series A,4100000.0,High quality health insurance and health benefits,2019.0,Early Traction
STAGE,Entertainment,Series A,1000000.0,STAGE is an Indian language content platform for artist-led entertainment.,2019.0,Early Traction
Nykaa,Cosmetics,Series A,3000000.0,Nykaa is an online marketplace for different beauty and wellness products.,2012.0,Early Traction
Kaagaz Scanner,Scanning app,Series A,575000.0,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020.0,Early Traction
NIRA,FinTech,Series A,1000000.0,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2017.0,Early Traction
Prolixr,Skincare startup,Seed funding,982530.0,A premium skincare brand committed towards building innovative skin care wellness.,2018.0,Validation
Byju's,EdTech,Series A,200000000.0,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2011.0,Early Traction
DaMENSCH,E-commerce,Series A,6000000.0,DaMENSCH is a designer and seller of men's apparel.,2018.0,Early Traction
Country Delight,Food and Beverages,Series C,25000000.0,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2015.0,Scaling
SignalX,AI startup,Seed funding,800000.0,SignalX offers an artificial intelligence-powered SaaS platform,2018.0,Validation
Lancify,EdTech,Series A,300000.0,Lancify is building the world's strongest young workforce,2018.0,Early Traction
Krimanshi,Biotechnology company,Seed funding,600000.0,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015.0,Validation
Instoried,AI startup,Series A,1000000.0,Instoried is an augmented writing platform which improves customer interest and engagement.,2018.0,Early Traction
PlayerzPot,Gaming startup,Series A,3000000.0,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2015.0,Early Traction
Instamojo,FinTech,Series A,3000000.0,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2012.0,Early Traction
Turtlemint,HealthTech,Series A,30000000.0,Turtlemint has built Indian personalized insurance platform,2015.0,Early Traction
Arata,E-commerce,Series A,1000000.0,Arata is an e-commerce site for beauty products and cosmetics.,2017.0,Early Traction
MPL,Gaming startup,Series A,5000000.0,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2018.0,Early Traction
True Balance,FinTech,Series A,28000000.0,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2014.0,Early Traction
Thrive,FoodTech,Series A,3000000.0,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020.0,Early Traction
Kitchens Centre,Proptech,Series A,3000000.0,Kitchens Centre offers turnkey solutions to cloud kitchens.,2019.0,Early Traction
Prescribe,HealthTech,Series A,100000.0,Provide online services to patients by leveraging WhatsApp.,2019.0,Early Traction
Nepra,CleanTech,Series C,18000000.0,NEPRA Resource Management provides waste management solutions in India.,2006.0,Scaling
inFeedo,SaaS startup,Series A,3200000.0,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2013.0,Early Traction
Shilpa Sciences,HealthTech,Series A,3000000.0,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2014.0,Early Traction
Arzooo,Tech Startup,Series A,3000000.0,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2016.0,Early Traction
MindTickle,SaaS platform,Debt,100000000.0,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2011.0,Other
Krimanshi,Biotechnology company,Seed funding,600000.0,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015.0,Validation
Slice,FinTech,Debt,5000000.0,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2016.0,Other
Rapawalk,E-commerce,Seed funding,300000.0,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2017.0,Validation
Oga Fit's,Fitness startup,Series A,3000000.0,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2017.0,Early Traction
LAVAL,Cosmetics,Series A,3000000.0,"Laval Cosmetics, affordable makeup for all ages",2016.0,Early Traction
Stride Ventures,Venture capitalist,Series A,80000000.0,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2019.0,Early Traction
BlackSoil,FinTech,Series A,10000000.0,Blacksoil Advisory is an independent boutique advisory firm.,2016.0,Early Traction
Biocon,Healthcare,Series A,15000000.0,"Biocon is a healthcare and technology, company focused on biotechnology.",1978.0,Early Traction
Clientjoy,SaaS startup,Series A,800000.0,Client Management Software For Modern Agencies.,2013.0,Early Traction
Xpressbees,E-commerce,Series A,100000000.0,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2015.0,Early Traction
GalaxyCard,FinTech,Seed funding,982530.0,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2017.0,Validation
Wellness Forever,HealthTech,Series A,100000000.0,Wellness Forever is the one-stop destination for wellness,2008.0,Early Traction
MoooFarm,AgriTech,Pre-Seed funding,500000.0,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2019.0,Ideation
BitClass,PaaS startup,Seed funding,2000000.0,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020.0,Validation
Gonuts,Entertainment,Seed funding,400000.0,Personalised Video shoutouts from favourite celebrity.,2020.0,Validation
Uolo,EdTech,Seed funding,2000000.0,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2013.0,Validation
Kirana King,Retail,Series A,900000.0,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2014.0,Early Traction
iKure,HealthTech,Series A,3000000.0,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2010.0,Early Traction
Reliance Retail,E-commerce,Series A,10000000.0,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2006.0,Early Traction
TUBBR,Social Media,Series A,3000000.0,World's First Personal Social Network,2019.0,Early Traction
Ather Energy,Automobiles,Series D,35000000.0,Ather Energy is a manufacturer of electric scooters.,2013.0,Scaling
Routematic,SaaS startup,Series A,2000000.0,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2007.0,Early Traction
LivFin,FinTech,Series A,4700000.0,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2017.0,Early Traction
Universal Sportsbiz Pvt Ltd,Fashion startup,Series A,3000000.0,A fashion startup based in Bengaluru.,2012.0,Early Traction
Lattu Kids,EdTech,Series A,3000000.0,Lattu kids is an edutainment platform for preschool kids.,2017.0,Early Traction
Eggoz,Food & Bevarages,Series A,1500000.0,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2016.0,Early Traction
Steradian Semiconductors,Deeptech,Series A,3000000.0,Semiconductor company focused on CMOS millimeter wave products for Radar.,2016.0,Early Traction
CHARGE+ZONE,EV startup,Series A,3000000.0,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2018.0,Early Traction
Stones2milestones,EdTech,Bridge,2000000.0,Stones2milestones is India (Delhi) Based EdTech Company,2008.0,Other
Udacity,EdTech,Debt,75000000.0,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2011.0,Other
AjnaLens,AR/VR startup,Bridge,1000000.0,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2014.0,Other
Gully Network,E-commerce,Series A,1200000.0,Gully Network is a tech-enabled network of mid-sized grocery stores.,2019.0,Early Traction
TurboHire,Recruitment startup,Seed funding,1000000.0,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2018.0,Validation
Charcoal Eats,QSR startup,Series A,2000000.0,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2015.0,Early Traction
Mitron TV,Video platform,Series A,3000000.0,Mitron is a free short videoplatform for next generation,2020.0,Early Traction
Svami,Food & Bevarages,Series A,800000.0,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2016.0,Early Traction
Dhurnia,EdTech,Series A,100000.0,Developer of an online learning platform intended for various competitive exam preparations.,2018.0,Early Traction
Expertrons,EdTech,Series A,3000000.0,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2019.0,Early Traction
Leena AI,AI startup,Series A,8000000.0,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2015.0,Early Traction
Bizlog,Logistics,Series A,1000000.0,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2016.0,Early Traction
Tamasha.live,Gaming,Series A,300000.0,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020.0,Early Traction
Fedo,AI startup,Series A,1000000.0,Artificial Intelligence based Credit Score for Health,2017.0,Early Traction
FabHotels,Hospitality,Series A,1000000.0,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2015.0,Early Traction
Freshokartz,AgriTech,Series A,1000000.0,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2016.0,Early Traction
FlexiLoans,FinTech,Debt,6000000.0,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2016.0,Other
Agrix,AgriTech,Series A,3000000.0,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020.0,Early Traction
BharatAgri,AgriTech,Series A,3000000.0,A Smart Farming Technology Platform for Indian Farmers,2017.0,Early Traction
FreshtoHome,E-commerce,Series C,121000000.0,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2015.0,Scaling
Credable,FinTech,Series A,4500000.0,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2017.0,Early Traction
Railofy,Transportation,Seed funding,5000000.0,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2019.0,Validation
Finova Capital,FinTech,Series A,55000000.0,Finova Capital is a non-banking financial company.,2016.0,Early Traction
Teachmint,Edtech,Seed funding,3500000.0,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020.0,Validation
Peel-Works,E-commerce,Series A,3000000.0,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2010.0,Early Traction
Janani,Fertility tech,Pre-Seed funding,200000.0,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020.0,Ideation
Credgenics,FinTech,Seed funding,3300000.0,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2018.0,Validation
Finelistings,Luxury car startup,Series A,3000000.0,A Used Luxury Car Marketplace,2015.0,Early Traction
Wellversed,Healthcare,Series A,3000000.0,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2018.0,Early Traction
Nykaa,Cosmetics,Series A,3000000.0,Nykaa is an online marketplace for different beauty and wellness products.,2012.0,Early Traction
Jumbotail,E-commerce,Series B,11000000.0,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2015.0,Scaling
Winzo,Gaming startup,Series A,2000000.0,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2018.0,Early Traction
mCaffeine,Cosmetics,Series B,5000000.0,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2015.0,Scaling
Pocket FM,FM,Series A,5000000.0,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2018.0,Early Traction
Snackible,Healthcare,Bridge,1500000.0,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2015.0,Other
FreshtoHome,E-commerce,Series A,16000000.0,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2015.0,Early Traction
Jumbotail,Retail,Series B,11000000.0,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2015.0,Scaling
Nykaa,E-commerce,Series A,3000000.0,Nykaa is an online marketplace for different beauty and wellness products.,2012.0,Early Traction
TagZ Foods,Food,Series A,3000000.0,TagZ Foods is a supplier of snacks and food products.,2019.0,Early Traction
Genius Teacher,Edtech,Series A,2000000.0,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2016.0,Early Traction
Krimanshi Feeds,Nutrition sector,Series A,500000.0,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2015.0,Early Traction
Origo,AgriTech,Debt,4000000.0,Provider of marketing and warehousing services for agricultural commodities.,2010.0,Other
GetVantage,FinTech,Seed funding,5000000.0,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2019.0,Validation
Betterplace,Tech platform,Series B,10000000.0,Developer of a digital verification platform designed to manage the semi-formal workforce.,2015.0,Scaling
Biddano,Healthcare,Series A,600000.0,India's 1st tech-enabled healthcare logistics platform.,2016.0,Early Traction
InVideo,Video,Series A,15000000.0,InVideo enables you to transform your content into great videos.,2017.0,Early Traction
Arzooo,Retail Tech,Series A,7500000.0,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2016.0,Early Traction
Hubilo,Tech company,Seed funding,4500000.0,World’s smartest virtual event platform that brings Experience & Intelligence together,2020.0,Validation
BASIC Home Loan,FinTech,Seed funding,5000000.0,"A platform for automating home loans for middle and low-income households in India,",2020.0,Validation
Ketos,AI startup,Series A,18000000.0,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2015.0,Early Traction
SUGAR cosmetics,Cosmetics,Debt,2000000.0,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2012.0,Other
Signzy,FinTech,Series A,5400000.0,It is creating 'building blocks for a Digital Trust system.,2015.0,Early Traction
Ahaguru,Edtech,Series A,3000000.0,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2012.0,Early Traction
Tekion,AI startup,Series C,150000000.0,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2016.0,Scaling
Brighteye Ventures,Edtech,Series A,5400000.0,Education technology venture capital firm.,2017.0,Early Traction
EzeRx,Medtech,Seed funding,200000.0,Developer and manufacturer of medical devices,2018.0,Validation
VitalTech,HeathTech,Seed funding,3000000.0,"VitalTech is a develop technologies that empower patients to better care for their safety,",2018.0,Validation
Genius Teacher,Edtech,Series A,2000000.0,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2016.0,Early Traction
Ultraviolette Automotive,Automobiles,Series B,4000000.0,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2014.0,Scaling
Tring,Social Media,Series A,3000000.0,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2019.0,Early Traction
Rare Planet,Retail startup,Series A,400000.0,Rare Planet sells handicrafts made by local artisans.,2015.0,Early Traction
GoodGamer,Gaming,Seed funding,2500000.0,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020.0,Validation
InnAccel,Medtech,Series A,1500000.0,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2012.0,Early Traction
Tiliter,Retail,Series A,7500000.0,Software that uses computer vision to recognise products without barcodes,2017.0,Early Traction
Slintel,Sles and marketing,Series A,4200000.0,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2016.0,Early Traction
SoOLEGAL,LegalTech,Series A,4000000.0,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2015.0,Early Traction
HobSpace,Edtech,Seed funding,200000.0,India's Activity Hub for Kids,2019.0,Validation
Supplynote,SaaS startup,Seed funding,500000.0,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2015.0,Validation
ShopUp,E-commerce,Series A,22000000.0,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2017.0,Early Traction
Harmonizer India,Tech Startup,Series A,3000000.0,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2019.0,Early Traction
Zomato,FoodTech,Series A,52000000.0,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2008.0,Early Traction
Dukaan,Tech Startup,Seed funding,6000000.0,Developer of an android application designed for businesses to sell online.,2020.0,Validation
CredR,Bike marketplace,Series A,2000000.0,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2014.0,Early Traction
Satyukt,Agri tech,Seed funding,500000.0,An agritech company that provides business to business (B2B) agricultural data,2018.0,Validation
RACEnergy,Automobiles,Series A,3000000.0,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2018.0,Early Traction
TREAD,Fitness startup,Pre-Seed funding,1100000.0,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020.0,Ideation
Anveshan,FoodTech,Pre-Seed funding,100000.0,Provide quality and healthy food products,2019.0,Ideation
TeaMonk,Food & Bevarages,Series A,900000.0,India's Finest Specialty Tea company.,2016.0,Early Traction
Fleetx,Tech Startup,Series B,3000000.0,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2017.0,Scaling
ReNEWate,Real Estate,Pre-Seed funding,270000.0,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2018.0,Ideation
Tango Eye,SaaS startup,Seed funding,982530.0,Retail Video Analytics SaaS product,2018.0,Validation
Rare Planet,Reatil startup,Series A,3000000.0,Rare Planet sells handicrafts made by local artisans.,2015.0,Early Traction
Avataa Me,AR platform,Series A,7000000.0,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2014.0,Early Traction
Arrival,EV startup,Series A,118000000.0,Arrival is a technology company that specializes in developing electric vehicles.,2015.0,Early Traction
Cover Genius,FinTech,Series A,15000000.0,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2014.0,Early Traction
